Substrate	lutiphocae_013	faecalis_023	pacificensis_032	fulvigenes_045	piscatorii_048	glacincola_011	urativorans_019	okhotskensis_031	cryohalolentis_009	adeliensis_001	fozii_021	luti_022	maritimus_028	aquaticus_003	aestaurii_044	arenosus_005	celer_006	cibarius_007	ciconiae_008
phenylethylamine	0.0644	-0.0052	-0.0037	-0.0073	-0.0458	-0.01	-0.0219	-0.0273	0.0144	-0.0326	0.1909	0.0024	0.0298	0.016	-0.0013	-0.0147	0.1919	0.0102	0.0201
dulcitol	0.0026	-0.0012	-0.004	-0.0047	-0.0451	-0.0017	-0.0016	-0.8709	0.0077	0.0536	-0.008	0.0066	0.018	-0.0071	0.0257	-0.0061	0.1983	-0.0064	0.0106
L-glutamic acid	0.1173	0.4323	0.2344	0.3976	0.2896	0.3711	0.4514	0.3531	0.5612	0.5672	0.1051	0.3634	0.561	0.2834	0.3031	0.2912	0.4837	0.137	0.32
thymidine	-0.0071	0.005	-0.0001	0.0019	-0.0628	-0.0014	0.0014	-0.0203	0.0283	0.0976	-0.0021	-0.0027	0.0377	-0.0054	0.0262	-1.0238	0.1999	0.012	0.011
uridine	-0.0219	0.0124	-0.0036	-0.0048	-0.08	-0.0019	0.0021	-0.0147	0.015	0.1125	-0.0167	0.0011	0.0187	-0.0069	0.0222	-0.1967	0.2005	0.0105	0.0103
adenosine	-0.0119	-0.0001	-0.0059	0.0019	-0.0705	-0.0079	-0.0302	-0.0245	0.0097	0.1006	-0.0072	0.0081	0.0537	-0.0487	0.0145	-0.0325	0.203	0.0259	0.0164
inosine	-0.0092	0.0179	-0.0135	-0.0028	-0.06	-0.0039	-0.0014	-0.0307	0.0233	0.1273	-0.0158	-0.0009	0.0278	-0.0035	0.0066	-0.036	0.1814	0.0205	0.0111
L-malic acid	0.0993	0.2564	0.1509	0.1542	0.1984	0.001	0.3026	0.0542	0.1509	0.4063	0.0552	0.1237	0.1775	0.1041	0.2193	0.1619	0.3579	0.1624	0.0668
2-aminoethanol	0.0059	0.0077	0.0026	-0.0151	-0.0038	-0.0064	-0.005	-0.8806	0.001	0.012	-0.0135	-0.0128	0.0778	-0.0126	0.0069	-0.06	0.1895	0.0052	0.0176
negative_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N-acetyl-D-galactosamine	-0.0404	0.0087	-0.0038	-0.0056	0.0027	0.0021	0.0022	0.0132	-0.0042	-0.0065	-0.0151	-0.0038	-0.0086	-0.0083	0.0065	-0.0848	0.0076	0.0092	0.0011
gentiobiose	-0.0234	-0.0334	-0.0307	-0.0132	0.0058	-0.0055	-0.0077	0.0006	-0.0134	0.0058	-0.0044	-0.0039	-0.0238	0.0358	-0.018	-0.0459	-0.0239	-0.0051	-0.0022
D-raffinose	-0.0151	0.0093	0.0051	-0.0074	0.0025	0.0008	-0.0077	-0.0067	-0.0117	-0.0083	-0.0081	0.0154	0.1064	0.0062	0.0023	-0.0674	-0.0011	0.0079	0.005
capric acid	-0.0396	-0.0659	-0.0381	-0.0575	-0.0292	-0.0419	-0.0715	-0.0475	-0.0597	-0.0831	0.0087	-0.0369	-0.0008	-0.0356	-0.0572	-0.1416	-0.0433	-0.0407	-0.0279
D-lactic acid methyl ester	-0.037	0.0697	-0.0212	-0.0335	0.0165	-0.0021	0.0539	0.0329	0.0586	-0.0272	0.0013	-0.0086	0.0755	-0.0567	0.0035	-0.0996	-0.0245	0.0243	0.0511
acetamide	-0.0516	-0.0031	-0.0083	-0.0161	-0.0077	-0.0009	-0.0163	-0.0165	-0.008	-0.0169	-0.0147	0.0041	0.0556	-0.0248	-0.0247	-0.1066	-0.0071	-0.0071	0.0018
L-ornithine	-0.0121	0.2446	-0.0124	0.1583	0.3115	0.0016	0.3308	0.0871	0.487	0.0802	0.1771	0.218	0.5051	0.0298	-0.0075	0.1747	0.0429	0.0125	0.0174
chondroitin sulface C	-0.0497	-0.065	-0.03	-0.0158	-0.0149	-0.0146	-0.0174	0.003	-0.0185	-0.0188	-0.0168	0.0125	0.0365	0.0014	-0.0268	-0.0745	0.0079	0.0176	0.0148
